event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1588,2,5621,39,110.58,11.386,-17.281,-17.807,20,108095097.554
1589,0,5622,12,708.501,7.985,-1.601,-27.735,35,278321587.067
1589,1,5624,12,318.59,7.758,-3.124,-27.311,35,278321587.128
1590,0,5625,33,353.833,-13.907,-15.965,-15.027,13,19508972.095
1590,1,5626,33,373.864,-13.252,-17.874,-18.777,40,19508972.238
1590,2,5627,33,96.803,-14.665,-18.051,-18.095,40,19508972.29
1590,3,5628,33,135.237,-13.77,-17.309,-19.088,40,19508972.341
1591,0,5629,19,773.023,14.838,16.778,-14.439,22,259422867.026
1591,1,5630,19,238.25,12.011,16.866,-13.441,1,259422867.126
1592,0,5632,0,712.073,4.093,4.761,-23.257,5,87273116.706
1592,1,5633,0,10.187,3.266,4.408,-23.18,5,87273116.736
1592,2,5635,3,136.979,0.321,3.445,-24.154,3,87273116.847
1592,3,5636,3,121.21,0.23,4.444,-25.01,13,87273116.891
1593,0,5637,44,57.847,12.212,-5.904,-19.393,3,649467682.93
1594,0,5640,1,202.417,9.221,11.46,-28.247,55,13677245.898
1595,0,5641,41,758.961,11.39,-11.345,-20.571,21,3039193.768
1595,1,5642,14,50.696,11.337,-9.469,-20.498,12,3039193.83
1595,2,5643,41,158.153,12.967,-8.87,-19.87,12,3039193.899
1596,0,5645,13,505.897,8.095,-1.728,-22.236,1,277026142.053
1596,1,5646,13,170.588,8.474,-3.032,-22.246,0,277026142.094
1596,2,5648,13,37.167,11.301,-3.607,-22.096,15,277026142.194
1596,3,5649,13,285.224,12.865,-4.473,-23.653,35,277026142.27
1597,0,5650,26,766.825,-8.485,14.305,-17.242,1,97443920.169
1598,0,5651,34,356.109,-12.653,-8.459,-19.535,13,354421148.188
1598,1,5652,34,379.732,-13.274,-8.669,-19.647,12,354421148.211
1598,2,5654,34,243.759,-13.045,-9.007,-19.299,12,354421148.241
1599,0,5658,30,1018.509,-17.641,-12.215,-16.16,23,11359568.638
1600,0,5659,39,208.364,9.859,-15.699,-15.572,0,1740764.332
1600,1,5660,39,799.417,9.699,-16.913,-17.646,25,1740764.413
1601,0,5661,12,47.423,2.674,-2.71,-28.358,33,41437255.666
1601,1,5662,12,9.155,3.305,-2.77,-27.932,33,41437255.691
1601,2,5663,12,23.226,8.324,-3.351,-26.806,30,41437255.864
1601,3,5664,13,20.969,12.656,-1.058,-25.809,34,41437256.031
1601,4,5666,13,239.628,13.552,-0.927,-26.088,44,41437256.063
1602,0,5667,7,624.257,-10.114,-5.717,-20.633,4,12691355.1
1602,1,5668,32,161.412,-13.651,-6.448,-19.032,4,12691355.232
1602,2,5670,32,219.081,-14.97,-7.387,-21.937,34,12691355.344
1603,0,5671,38,226.565,-2.102,-14.193,-21.36,23,28138486.967
1603,1,5672,38,604.291,-1.52,-15.476,-22.314,23,28138487.023
1604,0,5674,29,536.086,-16.9,4.328,-17.944,10,15141249.425
1604,1,5675,29,453.041,-17.675,4.197,-20.272,21,15141249.502
1605,0,5676,10,147.529,4.088,-10.018,-26.877,32,93725582.42
1606,0,5677,23,470.418,-5.308,17.645,-15.061,4,40641795.044
1606,1,5678,23,63.418,-6.552,17.359,-16.915,13,40641795.12
1606,2,5679,23,219.129,-6.774,16.76,-18.329,13,40641795.171
1606,3,5680,23,80.198,-5.218,16.777,-18.171,13,40641795.223
