event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
28,2,4,220.426,-69.159,61.195,-225.621,01,44519487.825
28,3,4,173.140,-72.340,52.287,-224.923,02,44519487.856
29,1,24,761.585,-147.162,142.211,-194.128,31,45246023.705
29,2,24,238.415,-146.472,139.298,-194.007,31,45246023.715
30,1,21,1000.000,27.930,219.597,-132.936,13,34670304.099
31,1,0,789.461,28.217,19.859,-238.826,04,22897314.257
32,1,10,316.238,31.466,-93.413,-237.096,12,36642331.746
32,2,10,57.435,34.950,-108.297,-245.035,23,36642331.804
32,3,10,109.807,36.033,-113.479,-245.597,23,36642331.821
32,4,10,243.393,34.602,-118.704,-248.458,33,36642331.842
32,5,10,107.700,33.418,-115.371,-253.562,33,36642331.862
32,6,10,32.426,34.141,-114.749,-253.181,33,36642331.866
32,7,10,133.000,29.095,-113.461,-250.009,23,36642331.886
33,1,8,178.525,-159.988,17.532,-238.983,33,271371186.337
33,2,8,39.625,-159.694,18.988,-240.116,33,271371186.344
33,3,8,125.588,-145.260,15.576,-241.157,33,271371186.393
34,1,25,676.662,-107.031,203.918,-143.878,23,35993187.028
34,2,25,42.442,-105.391,202.822,-146.120,23,35993187.038
34,3,25,65.325,-99.513,192.986,-148.139,23,35993187.077
34,4,25,215.572,-97.718,192.151,-145.667,13,35993187.088
35,1,8,756.031,-140.409,-0.242,-193.748,02,138681620.640
36,1,10,44.051,49.597,-93.126,-256.450,32,161110952.691
36,2,10,291.498,50.113,-101.102,-271.017,42,161110952.746
36,3,10,417.712,39.962,-104.321,-284.865,42,161110952.805
36,4,10,71.006,50.145,-102.977,-288.566,52,161110952.841
36,5,10,130.132,27.049,-113.797,-300.958,51,161110953.007
37,1,34,210.912,-120.881,-154.441,-243.798,55,105471525.512
38,1,33,744.200,-122.336,-159.883,-157.716,11,230043761.750
38,2,33,57.416,-113.587,-160.849,-155.954,11,230043761.780
38,3,33,198.384,-108.504,-165.871,-132.368,02,230043761.862
39,1,22,506.186,9.286,175.004,-189.983,10,263776420.842
39,2,22,51.391,13.089,186.309,-188.014,20,263776420.883
39,3,21,442.423,30.182,211.372,-195.855,35,263776420.987
40,1,33,131.848,-129.188,-162.291,-143.762,12,82667937.930
40,2,33,659.561,-130.339,-165.731,-148.351,12,82667937.950
40,3,33,17.386,-127.049,-159.815,-146.151,02,82667937.974
40,4,33,39.010,-126.390,-159.054,-144.658,02,82667937.980
40,5,33,152.195,-138.147,-161.668,-129.845,13,82667938.043
41,1,23,68.247,-58.147,179.765,-227.584,42,104092834.883
41,2,23,5.258,-66.413,199.510,-239.744,52,104092834.967
42,1,29,774.763,-165.436,34.193,-210.508,21,14976473.051
42,2,29,52.336,-163.822,34.967,-210.100,21,14976473.057
42,3,29,172.900,-163.409,35.639,-211.220,21,14976473.061
43,1,38,595.837,-6.073,-149.007,-203.966,13,214739184.369
43,2,11,19.059,-58.309,-151.144,-222.650,32,214739184.554
43,3,35,112.541,-92.382,-157.967,-224.755,31,214739184.670
43,4,34,131.152,-103.612,-150.021,-242.643,45,214739184.746
43,5,34,141.410,-103.201,-150.762,-242.757,45,214739184.748
44,1,17,65.327,181.285,95.835,-165.469,25,118013050.809
44,2,17,682.973,191.760,104.247,-172.192,35,118013050.859
44,3,17,63.983,192.542,103.159,-171.534,35,118013050.864
44,4,17,27.770,191.017,98.712,-173.494,35,118013050.881
44,5,17,20.609,182.026,97.553,-184.230,35,118013050.928
44,6,17,139.338,181.846,97.880,-184.528,35,118013050.930
45,1,36,743.687,48.890,-176.328,-173.500,11,78568306.252
45,2,36,3.348,60.140,-169.702,-162.625,02,78568306.309
46,1,36,326.960,12.785,-242.784,-168.581,45,158198982.700
47,1,13,480.009,138.437,18.814,-252.268,33,39145605.242
47,2,2,163.790,146.275,49.391,-266.473,44,39145605.357
47,3,2,14.324,142.498,52.325,-271.693,54,39145605.381
48,1,0,406.784,65.770,65.852,-251.388,20,34238620.697
48,2,0,373.419,76.829,57.978,-262.567,30,34238620.755
48,3,0,96.269,76.404,60.405,-263.035,30,34238620.764
48,4,0,24.032,77.560,57.702,-264.500,30,34238620.775
48,5,0,99.496,82.613,56.148,-260.574,30,34238620.797
49,1,42,409.339,225.080,-6.369,-151.779,23,234759820.595
49,2,42,99.054,227.676,-5.992,-151.080,23,234759820.604
50,1,15,384.603,193.397,34.985,-140.829,04,166461462.360
50,2,15,342.232,193.479,35.254,-141.139,04,166461462.361
50,3,15,24.988,195.822,35.292,-140.411,04,166461462.369
50,4,15,127.385,201.590,38.683,-140.723,04,166461462.392
50,5,15,120.791,201.443,37.737,-140.428,04,166461462.395
51,1,41,696.324,160.077,-120.422,-153.404,14,78017821.616
51,2,41,71.221,160.099,-120.720,-153.003,14,78017821.617
51,3,39,40.050,104.567,-180.330,-147.516,13,78017821.890
52,1,15,707.494,198.404,18.649,-139.856,04,249141391.192
52,2,15,292.506,199.538,21.357,-132.692,04,249141391.218
53,1,39,712.555,115.067,-151.266,-139.665,01,100628537.867
54,1,24,753.884,-159.309,121.043,-133.204,03,52936802.291
55,1,1,693.176,17.174,119.363,-241.358,23,25369167.223
55,2,5,148.930,-1.641,106.134,-248.311,25,25369167.303
55,3,1,26.431,13.949,100.284,-233.912,12,25369167.376
55,4,1,131.463,13.914,100.001,-233.885,12,25369167.377
56,1,29,582.206,-152.323,25.730,-188.073,01,1303586.589
56,2,8,417.794,-136.741,22.394,-211.883,13,1303586.684
57,1,15,303.260,199.590,22.945,-176.189,25,147917157.758
58,1,41,607.665,164.077,-107.439,-188.816,23,250073191.950
58,2,41,220.367,160.432,-105.723,-195.190,33,250073191.975
58,3,41,38.735,161.606,-100.627,-186.625,23,250073192.008
58,4,44,133.233,152.646,-74.247,-197.387,22,250073192.108
59,1,10,712.514,42.414,-127.987,-262.382,43,71637005.903
59,2,10,84.404,38.342,-134.546,-256.060,44,71637005.937
59,3,10,9.487,28.532,-129.637,-252.090,34,71637005.976
59,4,10,70.494,24.531,-129.950,-250.671,34,71637005.990
59,5,10,10.504,25.323,-127.828,-253.110,34,71637006.001
59,6,10,33.933,26.023,-121.683,-253.184,34,71637006.022
59,7,10,78.664,25.492,-122.897,-253.200,34,71637006.026
60,1,11,602.962,-27.079,-121.208,-225.605,11,4058478.776
60,2,11,210.001,-46.520,-99.735,-241.999,25,4058478.887
60,3,11,5.039,-37.039,-98.629,-243.099,20,4058478.919
60,4,11,11.604,-18.738,-99.252,-237.742,10,4058478.983
60,5,11,170.394,-18.415,-99.300,-237.440,10,4058478.984
61,1,32,550.714,-192.930,-65.640,-194.866,30,3511962.840
61,2,30,29.941,-205.835,-93.437,-189.473,40,3511962.944
62,1,21,444.017,26.688,193.801,-147.800,04,32811025.473
62,2,21,368.805,22.516,198.212,-148.763,04,32811025.493
62,3,21,31.651,25.953,195.826,-145.268,04,32811025.511
62,4,21,7.405,32.197,190.185,-149.034,05,32811025.542
62,5,21,148.122,39.162,188.487,-149.537,05,32811025.566
63,1,19,77.938,131.004,145.741,-135.282,01,33618661.375
63,2,19,93.723,134.950,149.144,-148.998,00,33618661.424
63,3,19,25.314,140.753,136.251,-159.602,15,33618661.483
63,4,17,255.176,149.112,102.389,-161.186,04,33618661.599
64,1,22,84.677,26.475,134.529,-193.960,04,327102130.033
64,2,22,609.190,39.418,162.917,-219.713,33,327102130.168
64,3,22,1.836,38.435,164.530,-217.948,23,327102130.177
64,4,22,53.182,35.468,170.674,-209.933,22,327102130.212
64,5,22,43.784,37.087,172.971,-208.398,22,327102130.223
64,6,22,207.331,38.146,175.945,-209.939,32,327102130.235
65,1,34,391.840,-147.544,-97.402,-197.013,22,56383594.418
65,2,34,48.613,-146.870,-99.029,-202.011,22,56383594.435
65,3,34,254.730,-153.788,-104.767,-230.257,42,56383594.534
65,4,34,36.976,-148.152,-127.496,-231.902,42,56383594.613
65,5,34,52.497,-144.118,-140.616,-238.425,51,56383594.681
66,1,13,389.535,96.358,-6.419,-221.204,02,133724855.427
66,2,13,395.242,94.604,-7.081,-225.148,01,133724855.442
66,3,13,9.543,97.294,-6.257,-224.882,02,133724855.451
66,4,13,62.608,107.802,-7.579,-226.085,03,133724855.487
66,5,13,33.188,106.282,-2.408,-222.512,03,133724855.509
66,6,13,27.146,106.505,-1.384,-224.037,03,133724855.515
66,7,13,82.738,100.115,-7.609,-229.433,02,133724855.550
67,1,29,772.444,-169.057,31.700,-179.851,00,176952217.316
67,2,29,227.556,-169.171,31.813,-179.302,00,176952217.318
68,1,2,617.602,92.466,37.989,-230.754,15,15793305.819
68,2,2,57.739,119.876,72.814,-221.737,22,15793305.970
68,3,2,324.659,136.129,76.195,-228.252,33,15793306.029
69,1,34,677.831,-97.086,-96.696,-201.747,04,523765263.983
69,2,34,152.372,-97.515,-98.449,-200.495,04,523765263.990
69,3,34,169.798,-95.733,-99.951,-206.760,14,523765264.013
70,1,19,743.307,130.361,150.644,-139.018,01,160274702.812
70,2,19,104.257,129.961,154.070,-128.478,02,160274702.849
70,3,19,8.796,132.232,150.018,-129.157,02,160274702.865
71,1,1,551.030,34.679,117.101,-225.368,13,260635254.812
71,2,1,72.850,19.352,120.947,-233.327,23,260635254.871
72,1,22,576.630,42.907,200.707,-236.642,51,73474499.101
73,1,12,74.268,43.892,-58.105,-287.091,42,387464971.462
73,2,12,166.587,49.739,-61.162,-298.987,52,387464971.507
73,3,12,287.809,53.338,-59.496,-304.689,52,387464971.530
73,4,12,471.337,52.658,-58.767,-306.038,52,387464971.536
74,1,20,634.243,95.798,128.685,-183.701,00,187091393.535
74,2,20,52.021,90.790,127.967,-187.516,05,187091393.556
74,3,20,16.408,75.070,133.997,-189.995,04,187091393.613
74,4,22,6.941,40.716,160.254,-182.780,02,187091393.759
74,5,22,290.387,19.349,167.323,-175.792,00,187091393.838
75,1,38,48.000,26.922,-158.189,-206.782,24,33323535.406
75,2,38,95.779,26.233,-161.703,-210.671,24,33323535.423
75,3,38,558.536,19.121,-176.954,-220.614,34,33323535.488
75,4,40,297.685,52.517,-185.253,-222.982,42,33323535.603
76,1,19,706.538,138.004,154.041,-182.374,35,135166502.813
76,2,19,137.216,135.568,168.131,-164.550,20,135166502.889
76,3,19,29.376,144.193,160.076,-186.501,35,135166502.973
76,4,19,126.870,148.607,171.950,-192.623,40,135166503.020
77,1,12,769.989,53.680,-18.083,-256.585,25,34508317.467
77,2,12,36.772,56.273,-8.627,-248.163,15,34508317.546
77,3,12,83.082,57.355,-11.198,-248.113,15,34508317.555
78,1,24,156.876,-139.643,166.143,-154.157,25,141015002.137
78,2,24,626.259,-140.320,167.970,-157.158,25,141015002.149
78,3,24,13.776,-136.981,156.867,-154.108,15,141015002.189
78,4,24,40.992,-138.935,150.246,-150.887,15,141015002.214
78,5,24,48.045,-139.989,150.556,-149.908,15,141015002.219
78,6,24,114.051,-140.558,147.744,-151.210,15,141015002.230
79,1,10,600.657,35.731,-120.264,-236.622,23,120120875.332
79,2,10,399.343,29.502,-118.673,-240.347,24,120120875.357
80,1,35,495.095,-83.900,-167.222,-178.039,15,22901327.116
80,2,35,268.527,-87.043,-188.961,-172.627,25,22901327.191
80,3,35,37.161,-93.770,-188.449,-182.182,35,22901327.230
80,4,35,23.737,-83.910,-184.008,-213.081,41,22901327.339
80,5,35,175.480,-88.540,-185.098,-221.238,41,22901327.371
81,1,12,718.465,37.021,-31.804,-254.410,13,56360168.135
81,2,12,115.264,29.885,-15.215,-252.928,14,56360168.196
81,3,12,46.699,28.942,-20.775,-262.237,24,56360168.232
81,4,12,119.572,27.208,-29.302,-253.776,13,56360168.272
82,1,38,117.346,15.941,-157.569,-221.076,24,129310012.434
82,2,38,105.814,-1.073,-157.292,-245.693,43,129310012.534
82,3,10,8.682,-4.768,-128.425,-259.276,35,129310012.641
82,4,10,5.137,-3.921,-125.564,-260.976,35,129310012.652
82,5,10,266.375,-0.316,-119.378,-267.266,40,129310012.684
83,1,18,22.128,66.853,183.315,-170.819,12,16396669.103
83,2,18,261.628,78.546,233.143,-205.783,52,16396669.309
84,1,18,178.174,76.735,170.415,-156.129,01,185867021.504
84,2,18,577.325,92.644,215.338,-170.353,34,185867021.669
84,3,18,105.176,90.504,214.761,-166.868,34,185867021.683
84,4,18,38.720,90.483,214.743,-166.920,34,185867021.683
84,5,18,100.604,89.648,215.913,-166.281,34,185867021.689
85,1,24,121.384,-171.410,135.197,-152.762,23,78691226.101
85,2,24,376.106,-176.834,139.932,-154.464,23,78691226.125
86,1,11,245.089,-73.541,-118.828,-206.928,13,327652848.146
86,2,11,401.482,-66.866,-128.934,-229.504,23,327652848.231
86,3,11,60.601,-64.524,-131.767,-228.524,23,327652848.244
86,4,11,152.783,-57.567,-132.756,-222.009,23,327652848.276
86,5,11,44.124,-61.396,-131.944,-225.548,23,327652848.293
86,6,11,95.921,-61.021,-131.541,-225.208,23,327652848.295
87,1,15,415.663,206.779,81.594,-145.376,22,29302453.248
88,1,12,676.469,36.086,-41.003,-231.967,02,71360037.035
88,2,12,155.772,29.859,-36.556,-233.237,03,71360037.061
88,3,12,167.759,33.456,-34.760,-230.762,03,71360037.077
89,1,22,425.871,64.464,174.178,-238.749,43,270252592.960
89,2,22,59.336,44.197,181.908,-262.390,53,270252593.067
90,1,20,420.298,114.256,127.737,-215.481,22,18926140.496
90,2,20,313.405,122.178,137.106,-215.971,32,18926140.537
90,3,20,54.087,124.316,135.055,-218.169,32,18926140.549
90,4,20,8.666,127.014,140.242,-229.927,42,18926140.593
90,5,20,62.771,125.988,142.985,-233.037,42,18926140.607
90,6,20,39.747,123.149,137.689,-234.818,42,18926140.628
