event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
28,6,28,97.995,-159.678,69.804,-205.219,20,137306249.367
29,1,26,402.120,-73.139,120.419,-189.625,03,54979921.899
29,2,4,6.596,-72.951,109.786,-232.540,25,54979922.046
29,3,4,401.559,-71.273,107.537,-241.544,25,54979922.078
29,4,4,11.388,-77.183,110.885,-235.504,25,54979922.108
30,1,7,396.096,-98.317,-52.909,-229.530,14,16149009.300
30,2,7,389.051,-119.582,-51.576,-237.511,25,16149009.376
30,3,7,35.625,-116.923,-56.336,-231.213,24,16149009.403
30,4,7,179.228,-107.284,-50.223,-218.511,14,16149009.460
31,1,32,761.696,-153.911,-27.286,-184.172,02,56309284.963
31,2,32,51.581,-152.090,-24.996,-183.280,02,56309284.974
31,3,32,186.722,-146.953,-24.515,-186.430,02,56309284.994
32,1,30,79.136,-162.271,-73.556,-161.391,00,23837439.234
32,2,30,195.563,-173.393,-77.039,-168.800,10,23837439.280
32,3,30,251.852,-177.774,-75.527,-171.293,10,23837439.297
32,4,32,46.475,-185.100,-53.705,-177.632,20,23837439.377
32,5,31,222.898,-220.657,-14.916,-178.019,34,23837439.553
32,6,31,89.759,-221.802,-17.331,-175.916,34,23837439.564
32,7,31,16.388,-221.961,-16.485,-176.808,34,23837439.568
32,8,31,97.929,-223.263,-14.868,-175.867,34,23837439.576
33,1,36,759.102,42.672,-199.880,-146.573,14,52588584.792
34,1,21,132.046,14.870,235.139,-132.869,23,291432560.664
35,1,36,516.997,62.954,-182.177,-166.200,12,263720284.541
35,2,39,49.642,119.023,-176.259,-189.901,30,263720284.746
35,3,39,60.315,125.003,-179.112,-193.761,30,263720284.771
35,4,39,33.253,126.941,-187.562,-197.868,40,263720284.803
35,5,39,96.303,127.699,-189.459,-197.726,40,263720284.810
35,6,39,19.120,141.131,-189.748,-197.669,40,263720284.855
35,7,41,224.370,167.694,-172.409,-209.372,55,263720284.968
36,1,41,40.496,122.141,-138.910,-154.479,05,78867064.911
36,2,41,213.108,122.054,-139.247,-155.036,05,78867064.913
37,1,43,754.593,177.513,-108.806,-139.654,14,20390501.033
37,2,43,245.407,178.209,-103.965,-138.016,14,20390501.050
38,1,37,227.249,-23.934,-235.781,-155.426,32,6353967.599
38,2,37,51.751,-23.855,-236.210,-156.303,32,6353967.602
38,3,37,121.418,-27.122,-240.939,-179.732,45,6353967.683
38,4,37,75.247,-32.221,-237.584,-190.299,45,6353967.723
38,5,37,112.458,-36.909,-227.097,-200.057,45,6353967.774
38,6,35,240.379,-51.497,-206.204,-200.124,43,6353967.859
38,7,37,9.624,-53.204,-227.057,-195.764,45,6353967.930
38,8,37,161.874,-56.165,-231.076,-193.168,44,6353967.949
39,1,16,220.413,170.541,-5.843,-229.071,33,163016043.911
40,1,13,12.406,103.152,-10.386,-275.821,41,274672898.795
40,2,13,453.391,107.273,-9.995,-292.519,51,274672898.853
40,3,0,128.617,91.471,30.865,-301.620,51,274672899.187
41,1,19,204.236,137.433,132.394,-167.624,15,42992368.721
41,2,19,87.362,164.871,197.737,-194.554,50,42992368.974
42,1,1,728.651,46.823,120.771,-257.243,33,33360418.162
42,2,1,0.467,51.405,117.812,-254.960,34,33360418.182
42,3,1,270.882,59.352,111.747,-249.863,35,33360418.219
43,1,3,132.291,7.482,75.001,-293.947,42,22061799.316
43,2,3,867.709,6.973,77.195,-297.032,42,22061799.328
44,1,10,130.801,13.132,-94.513,-237.652,11,11655804.178
44,2,10,382.435,21.542,-131.380,-275.005,45,11655804.355
44,3,10,211.863,11.523,-134.666,-285.270,55,11655804.404
44,4,10,101.694,9.283,-137.460,-281.104,55,11655804.422
44,5,10,18.422,6.622,-137.871,-282.306,55,11655804.432
44,6,10,60.530,6.339,-137.439,-282.611,55,11655804.434
44,7,10,94.257,6.506,-138.162,-282.477,55,11655804.437
45,1,11,436.286,-54.718,-80.507,-234.649,15,128715755.751
45,2,7,6.370,-75.948,-66.988,-253.163,22,128715755.855
45,3,7,113.351,-99.604,-45.306,-279.262,41,128715755.993
45,4,8,275.618,-125.593,9.150,-284.612,50,128715756.195
45,5,8,168.375,-124.114,8.689,-284.519,50,128715756.200
46,1,13,760.269,115.070,-29.273,-247.165,25,433729581.197
46,2,13,4.444,94.602,-5.474,-216.262,02,433729581.344
47,1,36,786.889,41.548,-202.771,-144.312,14,190781230.559
47,2,36,103.050,39.238,-200.408,-142.025,04,190781230.573
47,3,36,110.061,41.471,-197.931,-143.686,04,190781230.593
48,1,19,669.113,159.725,164.983,-127.849,23,25916494.904
48,2,19,174.116,155.253,165.354,-133.506,22,25916494.928
48,3,19,156.770,161.121,162.622,-131.910,23,25916494.950
49,1,24,168.411,-160.828,125.609,-163.793,22,100843958.871
49,2,24,603.759,-169.416,127.169,-177.650,32,100843958.925
49,3,24,29.388,-165.607,130.480,-175.826,22,100843958.943
49,4,24,83.268,-166.675,142.497,-189.467,32,100843959.004
49,5,24,115.174,-167.202,141.438,-188.434,32,100843959.009
50,1,36,800.623,17.068,-237.315,-157.885,35,77245353.787
50,2,37,36.784,8.988,-231.825,-150.507,31,77245353.828
50,3,37,162.593,-10.524,-232.474,-150.056,31,77245353.893
51,1,8,456.966,-132.477,28.024,-240.347,34,118898550.742
51,2,8,543.034,-132.156,45.077,-248.909,34,118898550.807
52,1,14,58.785,73.397,-82.130,-240.259,25,1707933.965
52,2,14,240.466,74.386,-84.691,-244.288,25,1707933.981
52,3,10,507.564,54.797,-101.472,-289.632,52,1707934.155
52,4,10,193.185,54.727,-100.170,-286.251,42,1707934.167
53,1,42,791.524,177.255,-22.308,-182.464,11,96457797.874
53,2,44,133.714,175.646,-44.633,-178.029,10,96457798.007
54,1,15,664.640,206.991,63.207,-126.000,12,60865418.244
54,2,15,335.360,197.924,65.481,-138.208,12,60865418.295
55,1,24,764.462,-139.908,139.462,-198.071,31,177877085.079
55,2,24,19.919,-138.550,139.997,-196.953,31,177877085.086
55,3,26,14.099,-123.645,145.932,-196.946,30,177877085.139
55,4,26,39.324,-121.073,145.929,-197.912,20,177877085.148
55,5,26,162.197,-118.585,153.057,-218.715,35,177877085.222
56,1,43,440.164,172.497,-102.532,-127.174,03,147445009.368
57,1,31,176.216,-185.535,-27.462,-154.140,05,79436298.140
57,2,32,425.456,-210.728,-41.296,-209.503,41,79436298.348
57,3,31,154.753,-246.879,-26.696,-211.062,55,79436298.478
58,1,5,53.019,-4.269,104.953,-230.412,15,6736689.123
58,2,5,532.132,-12.948,122.024,-259.709,35,6736689.240
58,3,1,245.074,26.079,122.737,-278.836,42,6736689.385
58,4,1,169.775,24.811,123.376,-278.961,42,6736689.390
59,1,15,294.003,199.623,34.555,-136.778,04,63827979.643
59,2,15,471.141,208.354,31.132,-138.401,14,63827979.675
59,3,15,53.166,202.193,29.160,-144.486,14,63827979.705
59,4,15,24.127,202.364,29.789,-145.848,14,63827979.710
59,5,15,32.140,206.993,28.511,-149.742,14,63827979.730
59,6,15,125.423,204.626,21.094,-152.311,14,63827979.758
60,1,3,694.554,-51.317,75.692,-286.809,45,109575911.945
60,2,3,132.853,-31.361,82.177,-284.846,40,109575912.015
60,3,3,69.025,-32.399,80.764,-282.670,40,109575912.024
60,4,3,103.567,-32.266,80.815,-282.897,40,109575912.025
61,1,19,57.362,150.772,209.449,-199.537,50,182928834.204
62,1,2,729.069,83.151,85.344,-236.666,21,166939950.122
62,2,2,101.473,104.085,85.981,-217.264,12,166939950.217
62,3,2,169.458,103.424,91.087,-217.720,11,166939950.234
63,1,15,151.449,226.863,73.637,-137.161,32,149522762.085
63,2,15,119.240,241.023,74.125,-154.914,42,149522762.161
63,3,15,222.170,243.407,72.915,-156.878,42,149522762.172
64,1,5,83.907,-25.966,111.430,-206.010,02,73851825.696
65,1,13,101.323,81.413,-11.598,-261.738,31,58011743.253
65,2,13,12.609,103.007,-26.539,-276.611,40,58011743.395
65,3,44,77.323,170.902,-46.334,-250.547,44,58011743.648
65,4,44,63.856,171.778,-47.998,-251.357,44,58011743.655
65,5,44,156.638,174.433,-41.199,-261.637,54,58011743.697
66,1,10,479.914,-4.813,-101.762,-214.754,05,46336062.178
66,2,10,265.677,54.937,-113.798,-252.023,33,46336062.416
66,3,10,99.989,36.805,-120.348,-235.273,23,46336062.501
66,4,40,11.096,65.051,-150.085,-235.067,34,46336062.638
66,5,40,143.324,65.512,-150.124,-235.121,34,46336062.640
67,1,38,685.070,22.006,-135.373,-199.204,04,62643879.854
67,2,40,314.930,35.554,-137.776,-193.610,03,62643879.904
68,1,31,597.362,-227.099,-33.134,-134.564,23,79466962.171
68,2,31,173.567,-215.765,-70.374,-173.967,30,79466962.356
68,3,31,64.419,-221.603,-69.402,-177.460,40,79466962.379
68,4,31,49.681,-234.669,-64.899,-160.324,31,79466962.453
